"slug","category","current_title","current_meta_title","current_description","current_meta_description","title_issue","description_issue","duplicate_group","search_intent","proposed_title","proposed_meta_title","proposed_description","proposed_meta_description","body_supports_change","legal_risk","action","status"
"habilitacion-clinicas-hospitales","regulacion-sanitaria","Licencia Sanitaria en Honduras: Guía Completa","Licencia Sanitaria Honduras: Guía Completa","Requisitos de planos, equipamiento, personal colegiado, protocolos de desechos y bioseguridad. Inspección de la Región Sanitaria y renovación de la licencia.","Obtén tu Licencia Sanitaria en Honduras. Guía completa de requisitos, trámites ante SESAL y ARSA, y cómo el Portal Digital de Inversiones (PDI) puede","","","","sin conflicto demostrado","Licencia Sanitaria en Honduras: Guía Completa","Licencia Sanitaria Honduras: Guía Completa","Requisitos de planos, equipamiento, personal colegiado, protocolos de desechos y bioseguridad. Inspección de la Región Sanitaria y renovación de la licencia.","Obtén tu Licencia Sanitaria en Honduras. Guía completa de requisitos, trámites ante SESAL y ARSA, y cómo el Portal Digital de Inversiones (PDI) puede","true","LOW","KEEP","KEEP"
"herencias-transfronterizas-bienes","hondurenos-en-espana","Herencia Transfronteriza Honduras-España","Herencia Transfronteriza Honduras-España","Qué ley se aplica a la sucesión, impuestos en cada país (Sucesiones en Honduras, ISD en España), modelo 720 y pasos prácticos tras un fallecimiento.","Gestione herencias entre Honduras y España. Conozca qué ley aplica, impuestos y pasos a seguir.","","","","sin conflicto demostrado","Herencia Transfronteriza Honduras-España","Herencia Transfronteriza Honduras-España","Qué ley se aplica a la sucesión, impuestos en cada país (Sucesiones en Honduras, ISD en España), modelo 720 y pasos prácticos tras un fallecimiento.","Gestione herencias entre Honduras y España. Conozca qué ley aplica, impuestos y pasos a seguir.","true","LOW","KEEP","KEEP"
"hondurenos-espana-documentos","hondurenos-en-espana","Documentos legales hondureños desde España","Documentos Legales Hondureños desde España","Guía para hondureños residentes en España que necesitan gestionar documentos legales en Honduras: partidas, antecedentes, poderes y más.","Aprenda a tramitar documentos legales hondureños desde España. Guía sobre apostilla, RNP, antecedentes penales y consulados. ¡Evite errores!","","","","sin conflicto demostrado","Documentos legales hondureños desde España","Documentos Legales Hondureños desde España","Guía para hondureños residentes en España que necesitan gestionar documentos legales en Honduras: partidas, antecedentes, poderes y más.","Aprenda a tramitar documentos legales hondureños desde España. Guía sobre apostilla, RNP, antecedentes penales y consulados. ¡Evite errores!","true","LOW","KEEP","KEEP"
"importaciones-san-lorenzo","derecho-aduanero","Importaciones en San Lorenzo","Importaciones San Lorenzo","Importaciones en San Lorenzo: requisitos legales, clasificación arancelaria, DUA, impuestos DAI e ISV, permisos especiales y despacho aduanero en el puerto.","Conozca los requisitos, impuestos (DAI, ISV) y pasos para importar por San Lorenzo, Honduras. Cumpla con el CAUCA y ARSA. Asesoría legal aduanera.","","","","sin conflicto demostrado","Importaciones en San Lorenzo","Importaciones San Lorenzo","Importaciones en San Lorenzo: requisitos legales, clasificación arancelaria, DUA, impuestos DAI e ISV, permisos especiales y despacho aduanero en el puerto.","Conozca los requisitos, impuestos (DAI, ISV) y pasos para importar por San Lorenzo, Honduras. Cumpla con el CAUCA y ARSA. Asesoría legal aduanera.","true","LOW","KEEP","KEEP"
"importar-china-guia-aduanera","derecho-aduanero","Importar desde China a Honduras: Guía Legal","Importar desde China a Honduras","Documentación necesaria, aranceles e impuestos, Incoterms recomendados (FOB, CIF), proceso desde la compra hasta el despacho aduanero en Honduras.","Guía legal para importar desde China a Honduras. Conozca requisitos, documentación, impuestos y riesgos aduaneros. Asesoría experta.","","","","sin conflicto demostrado","Importar desde China a Honduras: Guía Legal","Importar desde China a Honduras","Documentación necesaria, aranceles e impuestos, Incoterms recomendados (FOB, CIF), proceso desde la compra hasta el despacho aduanero en Honduras.","Guía legal para importar desde China a Honduras. Conozca requisitos, documentación, impuestos y riesgos aduaneros. Asesoría experta.","true","LOW","KEEP","KEEP"
"importar-mercancias-guia-aduanera","derecho-aduanero","Guía completa para importar a Honduras","Importar a Honduras: Requisitos","Requisitos aduaneros, DUA, factura comercial, permisos especiales, impuestos (DAI, ISV) y documentos necesarios para importar mercancías a Honduras sin","Guía completa sobre requisitos, impuestos (DAI, ISV) y despacho aduanero para importar a Honduras. Asesoría legal para importadores.","","","","sin conflicto demostrado","Guía completa para importar a Honduras","Importar a Honduras: Requisitos","Requisitos aduaneros, DUA, factura comercial, permisos especiales, impuestos (DAI, ISV) y documentos necesarios para importar mercancías a Honduras sin","Guía completa sobre requisitos, impuestos (DAI, ISV) y despacho aduanero para importar a Honduras. Asesoría legal para importadores.","true","LOW","KEEP","KEEP"
"impuesto-renta-personas-fisicas-honduras","tributario","ISR para Personas Físicas en Honduras","ISR Personas Físicas Honduras: Declaración y","Umbrales de ingresos, tramos progresivos del ISR, gastos deducibles con ejemplos y consecuencias de no declarar. Guía para asalariados y profesionales","Conozca quién debe declarar el ISR en Honduras, cómo calcularlo, gastos deducibles y las consecuencias de no cumplir.","","","","sin conflicto demostrado","ISR para Personas Físicas en Honduras","ISR Personas Físicas Honduras: Declaración y","Umbrales de ingresos, tramos progresivos del ISR, gastos deducibles con ejemplos y consecuencias de no declarar. Guía para asalariados y profesionales","Conozca quién debe declarar el ISR en Honduras, cómo calcularlo, gastos deducibles y las consecuencias de no cumplir.","true","LOW","KEEP","KEEP"
"impuestos-pequenas-empresas-guia-basica-honduras","tributario","Impuestos para Pequeñas Empresas en Honduras","Impuestos Pequeñas Empresas Honduras: Guía SAR","Guía para el pequeño empresario hondureño: inscripción en el SAR, RTN, ISV, ISR, facturación electrónica, regímenes simplificados y plazos de declaración. Lo","Conozca los impuestos (ISV, ISR), retenciones y aportaciones (IHSS, RAP) para pequeñas empresas en Honduras. Cumpla sus obligaciones fiscales con el SAR.","","","","sin conflicto demostrado","Impuestos para Pequeñas Empresas en Honduras","Impuestos Pequeñas Empresas Honduras: Guía SAR","Guía para el pequeño empresario hondureño: inscripción en el SAR, RTN, ISV, ISR, facturación electrónica, regímenes simplificados y plazos de declaración. Lo","Conozca los impuestos (ISV, ISR), retenciones y aportaciones (IHSS, RAP) para pequeñas empresas en Honduras. Cumpla sus obligaciones fiscales con el SAR.","true","LOW","KEEP","KEEP"
"incumplimiento-contrato-comercial-honduras","derecho-mercantil","Incumplimiento de contrato en Honduras","Incumplimiento de Contrato en Honduras","Guía para reaccionar ante un incumplimiento contractual en Honduras: pasos legales, reclamación formal, mediación y vía judicial.","Sepa qué hacer ante un incumplimiento de contrato en Honduras. Conozca sus derechos, plazos y acciones legales según el Código de Comercio.","","","","sin conflicto demostrado","Incumplimiento de contrato en Honduras","Incumplimiento de Contrato en Honduras","Guía para reaccionar ante un incumplimiento contractual en Honduras: pasos legales, reclamación formal, mediación y vía judicial.","Sepa qué hacer ante un incumplimiento de contrato en Honduras. Conozca sus derechos, plazos y acciones legales según el Código de Comercio.","true","LOW","KEEP","KEEP"
"isv-impuesto-venta-tasas-obligaciones-honduras","tributario","ISV en Honduras: tasas, obligaciones y cómo","ISV en Honduras: tasas, declaración y obligaciones","Cómo funciona el Impuesto sobre Ventas en Honduras: tasas, productos exentos, débito y crédito fiscal, declaración mensual ante el SAR, facturación con CAI y","Guía sobre tasas, crédito y débito fiscal, exenciones y obligaciones de declaración del Impuesto Sobre Ventas ante el SAR de Honduras.","","","","sin conflicto demostrado","ISV en Honduras: tasas, obligaciones y cómo","ISV en Honduras: tasas, declaración y obligaciones","Cómo funciona el Impuesto sobre Ventas en Honduras: tasas, productos exentos, débito y crédito fiscal, declaración mensual ante el SAR, facturación con CAI y","Guía sobre tasas, crédito y débito fiscal, exenciones y obligaciones de declaración del Impuesto Sobre Ventas ante el SAR de Honduras.","true","LOW","KEEP","KEEP"
"jornada-laboral-horas-extra-descansos-honduras","derecho-laboral","Jornada Laboral en Honduras: Horas Extra y Recargos","Jornada Laboral en Honduras: Horas Extra y Recargos","Límites de la jornada laboral en Honduras, horas extra, recargos, descansos obligatorios y derechos del trabajador según el Código de Trabajo.","Límites de la jornada laboral en Honduras, horas extra, recargos, descansos obligatorios y derechos del trabajador según el Código de Trabajo.","","","","sin conflicto demostrado","Jornada Laboral en Honduras: Horas Extra y Recargos","Jornada Laboral en Honduras: Horas Extra y Recargos","Límites de la jornada laboral en Honduras, horas extra, recargos, descansos obligatorios y derechos del trabajador según el Código de Trabajo.","Límites de la jornada laboral en Honduras, horas extra, recargos, descansos obligatorios y derechos del trabajador según el Código de Trabajo.","true","LOW","KEEP","KEEP"
"juicio-oral-etapas-que-esperar-honduras","proceso-penal","Juicio oral en Honduras: etapas y preparación","Juicio oral en Honduras: etapas y preparación","Guía práctica sobre el juicio oral y público en el proceso penal hondureño: alegatos de apertura, práctica de pruebas, contrainterrogatorios, alegatos finales","Conozca la apertura, presentación de pruebas, conclusiones, deliberación y sentencia en un juicio oral penal en Honduras.","","","","sin conflicto demostrado","Juicio oral en Honduras: etapas y preparación","Juicio oral en Honduras: etapas y preparación","Guía práctica sobre el juicio oral y público en el proceso penal hondureño: alegatos de apertura, práctica de pruebas, contrainterrogatorios, alegatos finales","Conozca la apertura, presentación de pruebas, conclusiones, deliberación y sentencia en un juicio oral penal en Honduras.","true","LOW","KEEP","KEEP"
"lavado-activos-obligaciones","practica-legal","Lavado de Activos en Honduras: Obligaciones","Lavado de Activos en Honduras: Obligaciones","Sujetos obligados (bancos, abogados, constructoras, concesionarios), deber de debida diligencia KYC, reporte de transacciones sospechosas y sanciones por","Conozca las obligaciones legales contra el lavado de activos en Honduras. Sectores obligados, debida diligencia y reportes. CNBS y UIF supervisan.","","","","sin conflicto demostrado","Lavado de Activos en Honduras: Obligaciones","Lavado de Activos en Honduras: Obligaciones","Sujetos obligados (bancos, abogados, constructoras, concesionarios), deber de debida diligencia KYC, reporte de transacciones sospechosas y sanciones por","Conozca las obligaciones legales contra el lavado de activos en Honduras. Sectores obligados, debida diligencia y reportes. CNBS y UIF supervisan.","true","LOW","KEEP","KEEP"
"libertad-expresion-redes-sociales-honduras","derechos-ciudadanos","Libertad de expresión en redes","Libertad de Expresión vs. Calumnia en Honduras","Diferencia entre opinión (protegida) e imputación de hechos (calumnia). Riesgos penales y civiles, cómo protegerse y qué hacer si es víctima de difamación.","Descubre los límites de la libertad de expresión en redes sociales en Honduras. Diferencia opinión de calumnia y evita responsabilidades penales y civiles.","","","","sin conflicto demostrado","Libertad de expresión en redes","Libertad de Expresión vs. Calumnia en Honduras","Diferencia entre opinión (protegida) e imputación de hechos (calumnia). Riesgos penales y civiles, cómo protegerse y qué hacer si es víctima de difamación.","Descubre los límites de la libertad de expresión en redes sociales en Honduras. Diferencia opinión de calumnia y evita responsabilidades penales y civiles.","true","LOW","KEEP","KEEP"
"licencia-ambiental-categorias-plazos-honduras","derecho-ambiental","Licencia Ambiental en Honduras","Licencia Ambiental Honduras: Guía Completa 2024","Categorías 1-4 según impacto, plazos de resolución (30-180 días), sanciones (suspensión, clausura, multa, responsabilidad penal) y recomendaciones para el","Obtenga su Licencia Ambiental en Honduras. Conozca los requisitos, el marco legal (Ley General del Ambiente, SINEIA, Acuerdo Ejecutivo No. 008-2015) y el","","","","sin conflicto demostrado","Licencia Ambiental en Honduras","Licencia Ambiental Honduras: Guía Completa 2024","Categorías 1-4 según impacto, plazos de resolución (30-180 días), sanciones (suspensión, clausura, multa, responsabilidad penal) y recomendaciones para el","Obtenga su Licencia Ambiental en Honduras. Conozca los requisitos, el marco legal (Ley General del Ambiente, SINEIA, Acuerdo Ejecutivo No. 008-2015) y el","true","LOW","KEEP","KEEP"
"mediacion-familiar-cuando-funciona-honduras","conciliacion-arbitraje","Mediación Familiar en Honduras","Mediación Familiar Obligatoria en Honduras","Cuándo es obligatoria la mediación familiar antes del juicio, cómo funciona el proceso, costos y duración. Diferencias con el litigio y cuándo NO procede","Descubra si la mediación familiar es obligatoria en Honduras antes de un juicio. Conozca el proceso, cuándo aplica y cuándo no. Abogados expertos.","","","","sin conflicto demostrado","Mediación Familiar en Honduras","Mediación Familiar Obligatoria en Honduras","Cuándo es obligatoria la mediación familiar antes del juicio, cómo funciona el proceso, costos y duración. Diferencias con el litigio y cuándo NO procede","Descubra si la mediación familiar es obligatoria en Honduras antes de un juicio. Conozca el proceso, cuándo aplica y cuándo no. Abogados expertos.","true","LOW","KEEP","KEEP"
"mediacion-vs-juicio-cual-elegir","conciliacion-arbitraje","Mediación vs juicio en Honduras","Mediación vs Juicio en Honduras","Diferencias entre mediación y juicio en Honduras: confidencialidad, duración, costo, fuerza ejecutiva del acuerdo y cuándo conviene cada vía según el tipo de","Descubra las diferencias clave entre mediación y juicio en Honduras. Conozca cuándo usar cada método para resolver sus conflictos legales de forma","","","","sin conflicto demostrado","Mediación vs juicio en Honduras","Mediación vs Juicio en Honduras","Diferencias entre mediación y juicio en Honduras: confidencialidad, duración, costo, fuerza ejecutiva del acuerdo y cuándo conviene cada vía según el tipo de","Descubra las diferencias clave entre mediación y juicio en Honduras. Conozca cuándo usar cada método para resolver sus conflictos legales de forma","true","LOW","KEEP","KEEP"
"medidas-sustitutivas-prision-preventiva-honduras","derecho-penal","7 Medidas sustitutivas a la prisión preventiva","Medidas Sustitutivas Prisión Preventiva Honduras","La prisión preventiva no es automática. Conozca las medidas sustitutivas que permite la ley hondureña para garantizar el proceso sin privar de libertad.","Conozca las medidas sustitutivas a la prisión preventiva en Honduras. Abogados explican alternativas al encierro y cómo solicitarlas. ¡Infórmese!","","","","sin conflicto demostrado","7 Medidas sustitutivas a la prisión preventiva","Medidas Sustitutivas Prisión Preventiva Honduras","La prisión preventiva no es automática. Conozca las medidas sustitutivas que permite la ley hondureña para garantizar el proceso sin privar de libertad.","Conozca las medidas sustitutivas a la prisión preventiva en Honduras. Abogados explican alternativas al encierro y cómo solicitarlas. ¡Infórmese!","true","LOW","KEEP","KEEP"
"nacionalidad-espanola-para-hondurenos-residencia-plazos","hondurenos-en-espana","Nacionalidad española para hondureños","Nacionalidad Española para Hondureños","Requisitos para que un hondureño obtenga la nacionalidad española por residencia: plazos reducidos (2 años), pruebas CCSE y DELE, documentación y proceso.","Obtenga la nacionalidad española residiendo en España. Conozca los plazos reducidos (2 años) para hondureños, requisitos y proceso. ¡Consulte a expertos!","","","","sin conflicto demostrado","Nacionalidad española para hondureños","Nacionalidad Española para Hondureños","Requisitos para que un hondureño obtenga la nacionalidad española por residencia: plazos reducidos (2 años), pruebas CCSE y DELE, documentación y proceso.","Obtenga la nacionalidad española residiendo en España. Conozca los plazos reducidos (2 años) para hondureños, requisitos y proceso. ¡Consulte a expertos!","true","LOW","KEEP","KEEP"
"naturalizacion-nacionalidad-hondurena","extranjeria-migracion","Naturalización en Honduras: Guía para Obtener","Naturalización en Honduras: Guía Completa 2026","Guía completa del proceso de naturalización en Honduras: requisitos, documentación, plazos ante el Congreso Nacional y diferencias por país de origen.","Obtenga la nacionalidad hondureña por naturalización. Conozca requisitos, documentos y el proceso legal ante el Congreso Nacional.","","","","sin conflicto demostrado","Naturalización en Honduras: Guía para Obtener","Naturalización en Honduras: Guía Completa 2026","Guía completa del proceso de naturalización en Honduras: requisitos, documentación, plazos ante el Congreso Nacional y diferencias por país de origen.","Obtenga la nacionalidad hondureña por naturalización. Conozca requisitos, documentos y el proceso legal ante el Congreso Nacional.","true","LOW","KEEP","KEEP"
"patentes-requisitos-proceso-solicitud-honduras","propiedad-intelectual","Patentes en Honduras: Requisitos y Costos","Patentes en Honduras: Requisitos","Guía completa sobre patentes en Honduras: qué se puede patentar, requisitos de patentabilidad, proceso ante DIGEPIH, costos y mantenimiento anual.","Descubra los requisitos, costos y el proceso para obtener una patente en Honduras. Proteja su invención con la Ley de Propiedad Industrial.","","","","sin conflicto demostrado","Patentes en Honduras: Requisitos y Costos","Patentes en Honduras: Requisitos","Guía completa sobre patentes en Honduras: qué se puede patentar, requisitos de patentabilidad, proceso ante DIGEPIH, costos y mantenimiento anual.","Descubra los requisitos, costos y el proceso para obtener una patente en Honduras. Proteja su invención con la Ley de Propiedad Industrial.","true","LOW","KEEP","KEEP"
"pension-alimenticia-choluteca","derecho-de-familia","Pensión Alimenticia en Choluteca","Pensión Alimenticia en Choluteca","Pensión alimenticia en Choluteca: cómo solicitarla, calcular el monto, documentos necesarios y qué hacer si el obligado no paga. Abogados de familia en","Abogados de Familia en Choluteca. Conozca cómo solicitar la pensión alimenticia, requisitos del Juzgado de Familia y cómo embargar el salario por impago.","","","","sin conflicto demostrado","Pensión Alimenticia en Choluteca","Pensión Alimenticia en Choluteca","Pensión alimenticia en Choluteca: cómo solicitarla, calcular el monto, documentos necesarios y qué hacer si el obligado no paga. Abogados de familia en","Abogados de Familia en Choluteca. Conozca cómo solicitar la pensión alimenticia, requisitos del Juzgado de Familia y cómo embargar el salario por impago.","true","LOW","KEEP","KEEP"
"pension-alimenticia-honduras-guia-completa","derecho-de-familia","Pensión Alimenticia en Honduras: Requisitos y Pasos","Pensión Alimenticia en Honduras: Requisitos y Pasos","Requisitos y procedimiento para solicitar pensión alimenticia en Honduras. Montos, plazos, documentos y ejecución ante incumplimiento.","Requisitos y procedimiento para solicitar pensión alimenticia en Honduras. Montos, plazos, documentos y ejecución ante incumplimiento.","","","","sin conflicto demostrado","Pensión Alimenticia en Honduras: Requisitos y Pasos","Pensión Alimenticia en Honduras: Requisitos y Pasos","Requisitos y procedimiento para solicitar pensión alimenticia en Honduras. Montos, plazos, documentos y ejecución ante incumplimiento.","Requisitos y procedimiento para solicitar pensión alimenticia en Honduras. Montos, plazos, documentos y ejecución ante incumplimiento.","true","LOW","KEEP","KEEP"
"pension-alimenticia-porcentaje-honduras-2026","derecho-de-familia","Pensión Alimenticia en Honduras 2026: Proporcionalidad y Cálculo","Pensión Alimenticia en Honduras 2026: Porcentajes y Cálculo","¿Cómo se determina la pensión alimenticia por hijo en Honduras en 2026? Conozca cómo se aplica el principio de proporcionalidad, las necesidades del menor y la capacidad de pago.","Guía sobre la pensión alimenticia en Honduras para 2026: aprenda cómo el juez calcula la cuota según las necesidades del menor y los ingresos del progenitor sin","","","","sin conflicto demostrado","Pensión Alimenticia en Honduras 2026: Proporcionalidad y Cálculo","Pensión Alimenticia en Honduras 2026: Porcentajes y Cálculo","¿Cómo se determina la pensión alimenticia por hijo en Honduras en 2026? Conozca cómo se aplica el principio de proporcionalidad, las necesidades del menor y la capacidad de pago.","Guía sobre la pensión alimenticia en Honduras para 2026: aprenda cómo el juez calcula la cuota según las necesidades del menor y los ingresos del progenitor sin","true","LOW","KEEP","KEEP"
"permiso-trabajo-extranjeros-honduras","extranjeria-migracion","Permiso de Trabajo en Honduras","Permiso de Trabajo Honduras: Requisitos y","Guía completa del permiso de trabajo para extranjeros en Honduras: requisitos, proceso ante la Secretaría de Trabajo, sanciones y excepciones por categoría de","Conozca los requisitos, el proceso y las sanciones del permiso de trabajo para extranjeros en Honduras. Asesoría legal migratoria y laboral.","","","","sin conflicto demostrado","Permiso de Trabajo en Honduras","Permiso de Trabajo Honduras: Requisitos y","Guía completa del permiso de trabajo para extranjeros en Honduras: requisitos, proceso ante la Secretaría de Trabajo, sanciones y excepciones por categoría de","Conozca los requisitos, el proceso y las sanciones del permiso de trabajo para extranjeros en Honduras. Asesoría legal migratoria y laboral.","true","LOW","KEEP","KEEP"
"pineda-asociados-bufete-multidisciplinario-honduras","practica-legal","Bufete Multidisciplinario en Honduras","Bufete Multidisciplinario Honduras","Transparencia total: cómo se recibe, analiza, cotiza y tramita un caso en un bufete hondureño. Del primer contacto a la sentencia, sin marketing vacío.","Descubra cómo opera un bufete multidisciplinario en Honduras, sus ventajas y cuándo conviene. Asesoría legal completa para empresas y familias.","","","","sin conflicto demostrado","Bufete Multidisciplinario en Honduras","Bufete Multidisciplinario Honduras","Transparencia total: cómo se recibe, analiza, cotiza y tramita un caso en un bufete hondureño. Del primer contacto a la sentencia, sin marketing vacío.","Descubra cómo opera un bufete multidisciplinario en Honduras, sus ventajas y cuándo conviene. Asesoría legal completa para empresas y familias.","true","LOW","KEEP","KEEP"
"poder-desde-espana-para-tramites-honduras","hondurenos-en-espana","Poder desde Espana para Tramites en Honduras","Poder Notarial España-Honduras: Guía y Trámites","Cómo otorgar un poder legal desde España para realizar trámites en Honduras sin viajar. Procedimiento, requisitos y validez internacional.","Aprenda a otorgar un poder notarial desde España para trámites en Honduras. Requisitos, apostilla, traducción y validez legal. ¡Asesoría experta!","","","","sin conflicto demostrado","Poder desde Espana para Tramites en Honduras","Poder Notarial España-Honduras: Guía y Trámites","Cómo otorgar un poder legal desde España para realizar trámites en Honduras sin viajar. Procedimiento, requisitos y validez internacional.","Aprenda a otorgar un poder notarial desde España para trámites en Honduras. Requisitos, apostilla, traducción y validez legal. ¡Asesoría experta!","true","LOW","KEEP","KEEP"
"poder-legal-honduras-cuando-se-necesita","derecho-notarial","Poder notarial en Honduras: tipos, alcance y requisitos","Poder notarial en Honduras: tipos, alcance y requisitos","Qué es un poder notarial, para qué trámites puede utilizarse y qué conviene revisar antes de otorgarlo dentro o fuera de Honduras.","Qué es un poder notarial, para qué trámites puede utilizarse y qué conviene revisar antes de otorgarlo dentro o fuera de Honduras.","","","","sin conflicto demostrado","Poder notarial en Honduras: tipos, alcance y requisitos","Poder notarial en Honduras: tipos, alcance y requisitos","Qué es un poder notarial, para qué trámites puede utilizarse y qué conviene revisar antes de otorgarlo dentro o fuera de Honduras.","Qué es un poder notarial, para qué trámites puede utilizarse y qué conviene revisar antes de otorgarlo dentro o fuera de Honduras.","true","LOW","KEEP","KEEP"
"poder-notarial-honduras-tipos-requisitos","derecho-notarial","4 Tipos de Poder Notarial en Honduras: Requisitos","Poderes Notariales en Honduras","Poder general, especial, para pleitos y cláusulas especialísimas: diferencias, requisitos notariales, cómo revocarlo y errores frecuentes que pueden costarle","Descubra los 4 tipos de poderes notariales en Honduras, sus requisitos y cómo revocarlos. Asesoría legal experta para sus trámites.","","","","sin conflicto demostrado","4 Tipos de Poder Notarial en Honduras: Requisitos","Poderes Notariales en Honduras","Poder general, especial, para pleitos y cláusulas especialísimas: diferencias, requisitos notariales, cómo revocarlo y errores frecuentes que pueden costarle","Descubra los 4 tipos de poderes notariales en Honduras, sus requisitos y cómo revocarlos. Asesoría legal experta para sus trámites.","true","LOW","KEEP","KEEP"
"preguntas-frecuentes-antes-contratar-abogado-honduras","practica-legal","10 preguntas que debe hacer antes de contratar","Cómo Elegir Abogado en Honduras: Preguntas Clave","¿Cómo saber si un abogado es bueno? ¿Cuánto cobra? ¿Puedo cambiar de abogado? Respuestas directas a las 10 preguntas más frecuentes antes de contratar","Descubra las preguntas esenciales antes de contratar un abogado en Honduras. Asegure experiencia, honorarios claros y la mejor estrategia legal.","","","","sin conflicto demostrado","10 preguntas que debe hacer antes de contratar","Cómo Elegir Abogado en Honduras: Preguntas Clave","¿Cómo saber si un abogado es bueno? ¿Cuánto cobra? ¿Puedo cambiar de abogado? Respuestas directas a las 10 preguntas más frecuentes antes de contratar","Descubra las preguntas esenciales antes de contratar un abogado en Honduras. Asegure experiencia, honorarios claros y la mejor estrategia legal.","true","LOW","KEEP","KEEP"
"prescripcion-deudas-plazos-honduras","derecho-civil","Prescripción de Deudas en Honduras: Plazos y Requisitos","Prescripción de Deudas Honduras: Plazos y ¿A los Cuántos Año","Deudas civiles (1-5 años según tipo), mercantiles (3 años), bancarias (5 años si no hay interrupción). Cómo interrumpir la prescripción con carta formal y","¿En cuánto tiempo prescribe una deuda en Honduras? Plazos para deudas civiles, mercantiles y bancarias. Cómo interrumpir la prescripción y conservar tu derecho ","","","","sin conflicto demostrado","Prescripción de Deudas en Honduras: Plazos y Requisitos","Prescripción de Deudas Honduras: Plazos y ¿A los Cuántos Año","Deudas civiles (1-5 años según tipo), mercantiles (3 años), bancarias (5 años si no hay interrupción). Cómo interrumpir la prescripción con carta formal y","¿En cuánto tiempo prescribe una deuda en Honduras? Plazos para deudas civiles, mercantiles y bancarias. Cómo interrumpir la prescripción y conservar tu derecho ","true","LOW","KEEP","KEEP"
"presentar-denuncia-conadeh-honduras","derechos-ciudadanos","Cómo Presentar una Denuncia ante el CONADEH en","Denuncia CONADEH Honduras: Guía Completa y","Qué casos atiende (violaciones de DD.HH. por autoridades), cómo presentar la queja sin abogado, qué esperar del proceso y limitaciones (recomendaciones no","Aprenda cómo presentar una queja ante el CONADEH en Honduras. Conozca el procedimiento, casos, facultades y las 3 oficinas regionales clave para defender","","","","sin conflicto demostrado","Cómo Presentar una Denuncia ante el CONADEH en","Denuncia CONADEH Honduras: Guía Completa y","Qué casos atiende (violaciones de DD.HH. por autoridades), cómo presentar la queja sin abogado, qué esperar del proceso y limitaciones (recomendaciones no","Aprenda cómo presentar una queja ante el CONADEH en Honduras. Conozca el procedimiento, casos, facultades y las 3 oficinas regionales clave para defender","true","LOW","KEEP","KEEP"
"proceso-consulta-legal-pineda","practica-legal","Cómo preparar tu consulta legal en Honduras","Consulta Legal Honduras: Preparación y Proceso","Guía práctica sobre cómo preparar su primera consulta legal: qué documentos llevar, qué preguntas hacer, cuánto dura, qué información recibirá y cómo decidir","Aprenda cómo preparar su consulta legal en Honduras. Documentación, qué esperar y errores comunes. Asesoría profesional garantizada.","","","","sin conflicto demostrado","Cómo preparar tu consulta legal en Honduras","Consulta Legal Honduras: Preparación y Proceso","Guía práctica sobre cómo preparar su primera consulta legal: qué documentos llevar, qué preguntas hacer, cuánto dura, qué información recibirá y cómo decidir","Aprenda cómo preparar su consulta legal en Honduras. Documentación, qué esperar y errores comunes. Asesoría profesional garantizada.","true","LOW","KEEP","KEEP"
"proteccion-datos-personales-derechos-arco-honduras","derechos-ciudadanos","Derechos ARCO en Honduras: Cómo Ejercerlos","Derechos ARCO en Honduras: Cómo Ejercerlos","Derechos de acceso, rectificación, cancelación y oposición (ARCO) en Honduras. Cómo solicitar información y proteger sus datos personales.","Derechos de acceso, rectificación, cancelación y oposición (ARCO) en Honduras. Cómo solicitar información y proteger sus datos personales.","","","","sin conflicto demostrado","Derechos ARCO en Honduras: Cómo Ejercerlos","Derechos ARCO en Honduras: Cómo Ejercerlos","Derechos de acceso, rectificación, cancelación y oposición (ARCO) en Honduras. Cómo solicitar información y proteger sus datos personales.","Derechos de acceso, rectificación, cancelación y oposición (ARCO) en Honduras. Cómo solicitar información y proteger sus datos personales.","true","LOW","KEEP","KEEP"
"proteccion-marcas-competencia-desleal","propiedad-intelectual","Protección de Marcas Frente a la Competencia","Protección de Marcas vs Competencia Desleal en","Acciones legales contra el uso no autorizado de su marca en Honduras: oposición, nulidad, demanda por competencia desleal y cuándo actuar ante DIGEPIH.","Descubra cómo defender su marca contra la competencia desleal en Honduras. Conozca las acciones legales, marco normativo y la importancia del registro.","","","","sin conflicto demostrado","Protección de Marcas Frente a la Competencia","Protección de Marcas vs Competencia Desleal en","Acciones legales contra el uso no autorizado de su marca en Honduras: oposición, nulidad, demanda por competencia desleal y cuándo actuar ante DIGEPIH.","Descubra cómo defender su marca contra la competencia desleal en Honduras. Conozca las acciones legales, marco normativo y la importancia del registro.","true","LOW","KEEP","KEEP"
